X;Y;OBJECTID;created_date;created_user;src_geo;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;commentaire_environnement;dte_plantation;age_estim;fk_prec_estim;clc_nbr_diag;dte_abattage;fk_nomtech;last_edited_user;last_edited_date;villeca;nomfrancais;nomlatin;GlobalID;CreationDate;Creator;EditDate;Editor;feuillage;remarquable
1721566.5275;8295835.0577;4917;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;8;2;70;ABATTU;Adulte;Semi libre;Gazon;Groupe;Non;RAS;;25;1;0;01/09/2017;BETPEN;mickael.delaere;02/02/2017;Ville;BETPEN;BETPEN;{0CC3F82C-40E5-4BC5-A705-793B7B67EDB7};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721568.8807;8295833.8154;4918;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;8;2;65;ABATTU;Adulte;Semi libre;Gazon;Groupe;Non;RAS;;25;1;0;01/09/2017;BETPEN;mickael.delaere;02/02/2017;Ville;BETPEN;BETPEN;{33DC8F77-689E-4B25-BD9B-244701F9047E};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721568.2641;8295835.9949;4919;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;18;4;130;EN PLACE;Adulte;Semi libre;Gazon;Groupe;Non;RAS;;35;1;0;;BETPEN;mickael.delaere;02/02/2017;Ville;BETPEN;BETPEN;{C457F67B-59C0-4141-A17D-B58E5804B403};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721574.8734;8295838.0052;4920;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;12;4;130;ESSOUCHE;Adulte;Semi libre;Gazon;Groupe;Oui;RAS;;40;1;0;01/10/2016;PINNIGnig;mickael.delaere;11/05/2017;Ville;PINNIGnig;PINNIGnig;{D21B0941-800A-466D-A5CE-20A5BF4B0E06};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1721572.9165;8295840.5959;4921;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;12;4;100;ESSOUCHE;Adulte;Semi libre;Gazon;Groupe;Non;RAS;;40;1;0;01/10/2016;PINNIGnig;mickael.delaere;11/05/2017;Ville;PINNIGnig;PINNIGnig;{F13ACDB4-35AC-4B43-92D1-54ED7EBDFAD1};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1721574.0794;8295843.2927;4922;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;12;4;120;ESSOUCHE;Adulte;Semi libre;Gazon;Groupe;Non;RAS;;40;1;0;01/10/2016;PINNIGnig;mickael.delaere;11/05/2017;Ville;PINNIGnig;PINNIGnig;{DE0BDAD9-7D13-480B-BF2F-2C1A2DE4DC6F};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Conifère;Non
1721557.786;8295856.2242;4923;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;9;3;105;EN PLACE;Adulte;Réduit relâché;Bande de terre;Alignement;Non;RAS;;30;1;0;;ACEPLA;mickael.delaere;02/02/2017;Ville;ACEPLA;ACEPLA;{A10978B5-67E2-4787-8CD8-AD33E0FA9243};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721561.6461;8295855.9603;4924;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;9;3;100;EN PLACE;Adulte;Réduit relâché;Bande de terre;Alignement;Non;RAS;;30;1;0;;ACEPLA;mickael.delaere;02/02/2017;Ville;ACEPLA;ACEPLA;{00CDA3F1-81BA-4C24-BD22-CCBAB10DA3C5};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721564.1838;8295858.9218;4925;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;9;3;145;EN PLACE;Adulte;Réduit relâché;Bande de terre;Alignement;Non;RAS;;30;1;0;;ACEPLA;mickael.delaere;02/02/2017;Ville;ACEPLA;ACEPLA;{772C9260-2942-4A2B-818D-8D8C9D2B27B2};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721560.4294;8295859.6087;4926;02/02/2017;mickael.delaere;Orthophoto;Quartier de l'Europe;Rue Geoffroy Saint-Hilaire;9;3;125;EN PLACE;Adulte;Réduit relâché;Bande de terre;Alignement;Non;RAS;;30;1;0;;ACEPLA;mickael.delaere;02/02/2017;Ville;ACEPLA;ACEPLA;{19F2D340-5646-40C0-ACA1-A5CB45B12258};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
